skuId,skuName,category,supplier,unitCost,unitPrice,currentStock,reorderPoint,reorderQty,leadTimeDays,dailySales30dAvg,dailySales90dAvg,lastSaleDate,lastReorderDate,stockoutDaysLast90d,seasonalIndex,marginPct
SKU-007055,Meia Silver GG,APPAREL,Distribuidora Central,158.33,193.76,12,5,52,3,1.44,1.56,2026-03-27,2026-02-23,0,1.16,18.3
SKU-007065,Tênis Vivace P,APPAREL,Atacadão Nordeste,110.82,190.14,137,57,86,21,2.36,2.12,2026-03-25,2026-02-04,0,1.05,41.7
SKU-007067,Camiseta Silver P,APPAREL,Atacadão Nordeste,99.23,124.50,133,1,1,7,0.00,0.15,2025-10-24,2026-02-10,0,0.91,20.3
SKU-007077,Camiseta Natural M,APPAREL,Aliança Comércio,93.82,246.51,64,36,163,10,2.82,2.90,2026-03-30,2025-12-04,0,0.98,61.9
SKU-007080,Camiseta TopMark P,APPAREL,TopParts Brasil,189.80,441.28,293,162,621,10,13.88,11.12,2026-03-28,2026-02-06,0,1.02,57.0
SKU-007099,Tênis Eco G,APPAREL,Indústria Reunidas,53.88,73.92,256,86,424,5,20.92,12.53,2026-03-30,2025-10-18,0,0.89,27.1
SKU-007110,Tênis Fresh G,APPAREL,Atacadão Nordeste,101.30,132.37,391,273,496,21,10.70,9.37,2026-03-29,2026-03-09,0,1.00,23.5
SKU-007120,Tênis Nordeste 42,APPAREL,Ponto Forte Atacadista,105.50,214.15,255,118,311,14,6.40,6.86,2026-03-27,2025-12-15,0,1.04,50.7
SKU-007121,Camiseta Plus P,APPAREL,Ponto Forte Atacadista,53.78,69.93,592,240,1140,7,41.35,26.58,2026-03-28,2025-10-27,0,1.03,23.1
SKU-007136,Bermuda Plus 40,APPAREL,Stock Direct,169.51,238.43,30,29,66,10,2.46,1.99,2026-03-26,2025-12-04,0,0.94,28.9
SKU-007151,Tênis Maxi G,APPAREL,VivaMais Distribuição,127.98,357.60,11,10,31,10,0.71,0.63,2026-03-25,2025-10-23,0,0.92,64.2
SKU-007152,Camiseta Nordeste P,APPAREL,Atacadão Nordeste,51.59,132.23,640,268,346,30,7.82,3.42,2026-03-26,2025-10-13,0,1.32,61.0
SKU-007158,Bermuda Silver GG,APPAREL,Distribuidora Central,153.19,325.22,59,1,1,7,0.00,0.09,2026-02-13,,0,0.87,52.9
SKU-007197,Bermuda Pro GG,APPAREL,Ponto Forte Atacadista,124.82,177.25,360,245,437,21,7.97,6.79,2026-03-29,2025-11-19,1,1.23,29.6
